Date,Chl-a
1998-01-31,0.4275
1998-02-28,0.6235
1998-03-31,0.5605
1998-04-30,0.618
1998-05-31,0.6533
1998-06-30,0.309
1998-07-31,0.2856
1998-08-31,0.554
1998-09-30,0.1526
1998-10-31,0.1812
1998-11-30,0.2216
1998-12-31,0.4895
1999-01-31,0.2137
1999-02-28,0.2976
1999-03-31,0.8887
1999-04-30,0.9927
1999-05-31,0.3594
1999-06-30,0.3223
1999-07-31,0.3333
1999-08-31,0.2078
1999-09-30,0.1652
1999-10-31,0.1873
1999-11-30,0.2266
1999-12-31,0.2876
2000-01-31,0.2686
2000-02-29,1.094
2000-03-31,0.369
2000-04-30,0.564
2000-05-31,0.325
2000-06-30,0.302
2000-07-31,0.269
2000-08-31,0.4487
2000-09-30,0.4644
2000-10-31,0.3494
2000-11-30,0.3481
2000-12-31,0.3237
2001-01-31,0.2231
2001-02-28,0.527
2001-03-31,0.4243
2001-04-30,0.958
2001-05-31,0.2422
2001-06-30,0.2544
2001-07-31,0.2788
2001-08-31,0.257
2001-09-30,0.3186
2001-10-31,0.159
2001-11-30,0.2708
2001-12-31,0.2576
2002-01-31,0.1838
2002-02-28,0.2615
2002-03-31,0.544
2002-04-30,0.5913
2002-05-31,0.534
2002-06-30,0.42
2002-07-31,0.4485
2002-08-31,0.7495
2002-09-30,0.2185
2002-10-31,0.1587
2002-11-30,0.2317
2002-12-31,0.2603
2003-01-31,0.7603
2003-02-28,0.713
2003-03-31,0.549
2003-04-30,0.4905
2003-05-31,0.3767
2003-06-30,0.3025
2003-07-31,0.277
2003-08-31,0.3105
2003-09-30,0.2358
2003-10-31,0.2333
2003-11-30,0.334
2003-12-31,0.3008
2004-01-31,0.957
2004-02-29,0.687
2004-03-31,0.6255
2004-04-30,0.441
2004-05-31,0.273
2004-06-30,0.1616
2004-07-31,0.1965
2004-08-31,0.1525
2004-09-30,0.1998
2004-10-31,0.1824
2004-11-30,0.2974
2004-12-31,0.2524
2005-01-31,0.2583
2005-02-28,0.2184
2005-03-31,0.4565
2005-04-30,1.609
2005-05-31,0.476
2005-06-30,0.2913
2005-07-31,0.583
2005-08-31,0.5483
2005-09-30,0.3865
2005-10-31,0.7456
2005-11-30,0.3533
2005-12-31,0.346
2006-01-31,0.2356
2006-02-28,0.2039
2006-03-31,0.699
2006-04-30,0.897
2006-05-31,0.2937
2006-06-30,0.3918
2006-07-31,0.314
2006-08-31,0.4724
2006-09-30,0.3137
2006-10-31,0.1489
2006-11-30,0.1926
2006-12-31,0.3484
2007-01-31,0.517
2007-02-28,0.4048
2007-03-31,0.899
2007-04-30,0.419
2007-05-31,0.528
2007-06-30,0.296
2007-07-31,0.3723
2007-08-31,0.5034
2007-09-30,0.485
2007-10-31,0.2566
2007-11-30,0.279
2007-12-31,0.2966
2008-01-31,0.268
2008-02-29,0.5273
2008-03-31,0.5986
2008-04-30,0.803
2008-05-31,0.386
2008-06-30,0.304
2008-07-31,0.2318
2008-08-31,0.2065
2008-09-30,0.1757
2008-10-31,0.306
2008-11-30,0.4514
2008-12-31,0.3816
2009-01-31,0.2451
2009-02-28,0.7485
2009-03-31,1.031
2009-04-30,1.169
2009-05-31,0.5107
2009-06-30,0.2009
2009-07-31,0.1511
2009-08-31,0.2512
2009-09-30,0.3657
2009-10-31,0.1833
2009-11-30,0.3394
2009-12-31,0.3838
2010-01-31,0.5015
2010-02-28,0.3103
2010-03-31,0.7812
2010-04-30,0.8936
2010-05-31,0.459
2010-06-30,0.4243
2010-07-31,0.327
2010-08-31,0.5957
2010-09-30,0.3403
2010-10-31,0.214
2010-11-30,0.3813
2010-12-31,0.505
2011-01-31,0.2668
2011-02-28,0.579
2011-03-31,1.347
2011-04-30,0.783
2011-05-31,0.267
2011-06-30,0.2827
2011-07-31,0.6914
2011-08-31,0.3252
2011-09-30,0.277
2011-10-31,0.368
2011-11-30,0.425
2011-12-31,0.3577
2012-01-31,0.316
2012-02-29,0.266
2012-03-31,0.7705
2012-04-30,0.3518
2012-05-31,0.2666
2012-06-30,0.2301
2012-07-31,0.2311
2012-08-31,0.1918
2012-09-30,0.2053
2012-10-31,0.2026
2012-11-30,0.2246
2012-12-31,0.421
2013-01-31,0.34
2013-02-28,0.6665
2013-03-31,0.3389
2013-04-30,0.9854
2013-05-31,0.536
2013-06-30,0.4526
2013-07-31,0.2261
2013-08-31,0.2302
2013-09-30,0.3296
2013-10-31,0.2402
2013-11-30,0.4622
2013-12-31,0.376
2014-01-31,0.2395
2014-02-28,0.3179
2014-03-31,1.477
2014-04-30,0.4592
2014-05-31,0.334
2014-06-30,0.1945
2014-07-31,0.4263
2014-08-31,0.3918
2014-09-30,0.1979
2014-10-31,0.1669
2014-11-30,0.334
2014-12-31,0.701
2015-01-31,0.519
2015-02-28,0.4077
2015-03-31,0.7646
2015-04-30,0.98
2015-05-31,1.08
2015-06-30,0.2578
2015-07-31,0.303
2015-08-31,0.6675
2015-09-30,0.3926
2015-10-31,0.1954
2015-11-30,0.27
2015-12-31,0.388
2016-01-31,0.2852
2016-02-29,1.114
2016-03-31,1.092
2016-04-30,0.9717
2016-05-31,0.4026
2016-06-30,0.237
2016-07-31,0.341
2016-08-31,0.4612
2016-09-30,0.2007
2016-10-31,0.3506
2016-11-30,0.364
2016-12-31,0.436
2017-01-31,0.608
2017-02-28,0.4436
2017-03-31,0.6724
2017-04-30,0.2886
2017-05-31,0.1396
2017-06-30,0.1952
2017-07-31,0.31
2017-08-31,0.3904
2017-09-30,0.5557
2017-10-31,0.363
2017-11-30,0.617
2017-12-31,0.5566
2018-01-31,0.637
2018-02-28,0.4343
2018-03-31,0.4546
2018-04-30,1.106
2018-05-31,0.62
2018-06-30,0.5605
2018-07-31,0.2737
2018-08-31,0.375
2018-09-30,0.3523
2018-10-31,0.3687
2018-11-30,0.507
2018-12-31,0.451
2019-01-31,0.3694
2019-02-28,0.4438
2019-03-31,0.6094
2019-04-30,0.371
2019-05-31,0.4136
2019-06-30,0.1923
2019-07-31,0.2847
2019-08-31,0.559
2019-09-30,0.4749
2019-10-31,0.2556
2019-11-30,0.548
2019-12-31,0.785
2020-01-31,0.4897
2020-02-29,0.9155
2020-03-31,0.6504
2020-04-30,0.2136
2020-05-31,0.1752
2020-06-30,0.1489
2020-07-31,0.397
2020-08-31,0.2627
2020-09-30,0.3904
2020-10-31,0.343
2020-11-30,0.3994
2020-12-31,0.4177
